,symbol,index,name,AnnualReturn,AnnualVolatility,SharpeRatio,StratCumReturn,BenchCumReturn,Beta,MaximumDrawdown,MaximumDrawdownStart,MaximumDrawdownEnd
1,003262.OF,000300.SH,安信沪深300C,3.751114170123282,3.398501103311602,1.103755466334286,1.2974384236453216,1.258984787150316,0.9579585369525616,6.1087375492027185,20170601,20170222
43,002315.OF,000300.SH,创金合信沪深300C,3.100489352962721,2.530128022118155,1.2254278541870285,1.2907662082514746,1.258984787150316,0.9737168879024997,2.21338505314528,20170905,20170726
41,000313.OF,000300.SH,华安沪深300量化C,7.338764040331758,5.9163720192800175,1.2404162578716333,1.3342484557309524,1.258984787150316,0.9211391799677009,7.23430174520279,20171207,20170802
38,399001.OF,000016.SH,中海上证50,1.9905914466666674,1.435737007864474,1.3864596620153213,1.3183673469387736,1.2979656281098453,0.992968807019537,1.3461534914730269,20170322,20170103
5,519981.OF,SPOEXEUP.SPI,长信标普100等权重,9.486710697570611,6.553229584945293,1.4476389961011578,1.0973166368515217,1.0,,4.098851124940109,20170908,20170726
30,530018.OF,399330.SZ,建信深证100,4.69330935041723,2.8446361264904176,1.6498803860048072,1.361028827396864,1.312911068167638,0.9824411890807557,1.7959288515262941,20171113,20170811
20,000478.OF,000905.SH,建信中证500,4.110087495233006,2.385635991901656,1.7228477056789968,1.0556111135266744,1.013475731551758,0.9853359725356374,2.1231961420517966,20171121,20171016
17,519116.OF,000300.SH,浦银安盛沪深300,3.845590851685654,2.2140916130798804,1.7368707008181563,1.298407376362114,1.258984787150316,0.9819333911772992,1.9563150401486329,20171110,20170919
0,164508.OF,000903.SH,国富中证100,4.440626821344895,2.368650949354471,1.8747493473257848,1.4046826717375815,1.3591568956419577,0.9793335779962359,2.1511733427615405,20170601,20170411
48,110030.OF,000300.SH,易方达沪深300量化,7.631283090637697,3.9555330666137714,1.9292679297889523,1.3372511136156262,1.258984787150316,0.9260072688766819,2.0960185492044707,20180110,20171116
42,000176.OF,000300.SH,嘉实沪深300增强,6.6025729726258975,3.126512463015158,2.1118012644217905,1.32669247474271,1.258984787150316,0.960865566175438,2.534070269313977,20171128,20170925
45,700002.OF,399007.SZ,平安大华深证300,8.056353822666962,3.6271158759027777,2.2211459733587255,1.255403617115129,1.1727736539660634,0.967075365616039,2.599180815466762,20170620,20170411
19,002907.OF,000905.SH,南方中证500增强C,10.13689067736423,4.25349236454035,2.383192400172479,1.1174698795180722,1.013475731551758,0.9535413046015558,2.0858077354437956,20171110,20171012
24,001397.OF,h30531.CSI,建信精工制造,10.061048711634601,4.074581166587999,2.4692227986857342,1.134309003334565,1.0310938215265442,0.9432847484389937,2.305973454400335,20170411,20170317
36,100038.OF,000300.SH,富国沪深300,6.82493089683307,2.7449388350283614,2.4863690256918067,1.3289745354439089,1.258984787150316,0.9676912417778061,1.571108770137756,20171122,20171026
21,213010.OF,000903.SH,宝盈中证100,3.697319474274674,1.4241976038998025,2.5960719665238208,1.397058823529413,1.3591568956419577,0.9925132027781665,1.3136252814957858,20170601,20170306
18,163407.SZ,000300.SH,兴全300,8.87444506622115,3.3602140209415037,2.641035663476758,1.3500141964792731,1.258984787150316,0.952344673912244,2.230939304726802,20170814,20170718
26,000311.OF,000300.SH,景顺长城沪深300,11.365218427562262,3.981387652267758,2.854587249520591,1.3755968169761283,1.258984787150316,0.9383969708633232,2.1480176227640566,20171127,20171116
8,163808.OF,000903.SH,中银中证100,3.533192582086797,1.2354756861121519,2.8597831764744797,1.3953756116281295,1.3591568956419577,0.9962155646881345,0.9018899442598566,20180110,20171115
13,003578.OF,000905.SH,中金中证500C,9.1693277229139,3.1523748532800626,2.9087047542500115,1.1075331205879497,1.013475731551758,0.974949753417503,1.9688580314842312,20170612,20170509
15,100032.OF,000922.SH,富国中证红利,5.3498410251206385,1.7843806526393144,2.9981500960613854,1.270982219920594,1.216129127567079,0.9853821681136884,0.7345091582493832,20170602,20170522
7,003876.OF,000300.SH,华宝沪深300,8.438354960546812,2.7212182291692253,3.1009475352232228,1.3455366098294896,1.258984787150316,0.9763976778083149,1.940955602602235,20171106,20170724
33,180003.OF,DJCN88.GI,银华道琼斯88精选,31.28469596897596,9.569904693503691,3.269070797561114,1.3216880733944947,1.0,,6.261373197409367,20171207,20171122
11,118002.OF,SPGLGUP.SPI,易方达标普消费品人民币,27.47573761012314,8.213221357846564,3.3453058687958026,1.2824106517168874,1.0,,3.0024509803921844,20170811,20170808
10,150136.SZ,000903.SH,国富100B,62.634240199021086,16.334633639481922,3.834444137616277,2.005119453924914,1.3591568956419577,0.9740149529150166,10.819539586967183,20171215,20171122
46,161017.SZ,000905.SH,富国500,10.184722722564477,2.6466278602957782,3.8481884345562154,1.1179611650485441,1.013475731551758,0.9818678405566674,1.6709415005604897,20170608,20170511
44,002316.OF,000905.SH,创金合信中证500C,12.347430089511802,3.1078203132446314,3.973019301306007,1.140179910044977,1.013475731551758,0.9739890130057325,2.019333461031556,20170914,20170717
14,200002.OF,000300.SH,长城久泰沪深300,2.6946395832630587,0.630779218744298,4.271921939069775,1.2866047081084089,1.258984787150316,0.9987933208537262,0.31399068336204305,20171122,20171115
23,000593.OF,SPGLGUP.SPI,易方达标普消费品美元现汇,36.1731648247205,8.366760084397507,4.323437562429561,1.3721383341451543,1.0,,3.190476190476219,20170208,20170126
49,003647.OF,000852.SH,创金合信中证1000C,15.47148987096727,2.696265522524373,5.738118053181246,0.9922876602564096,0.8334696320010695,0.9789626238617118,1.0676643708841596,20170209,20170126
