,symbol,index,AnnualReturn,AnnualVolatility,SharpeRatio,StratCumReturn,BenchCumReturn,Beta,MaximumDrawdown,MaximumDrawdownStart,MaximumDrawdownEnd
196,163114.OF,000827.SH,1.485233415,1.091109396,1.361214027,0.998020963,0.983291598,0.999188317,0.594822722,20170918,20170718
443,150256.SZ,399986.SZ,24.70311172,17.83726242,1.38491609,1.38335396,1.138583544,0.992426899,13.36455338,20170504,20170221
396,161125.SZ,SP500.SPI,9.922319371,7.160119903,1.385775588,1.098368808,1,,4.408857256,20170908,20170726
248,000478.OF,000905.SH,3.362695257,2.420643825,1.389173914,1.018901851,0.985555842,0.985431806,2.140980001,20171121,20171016
269,270026.OF,399008.SZ,1.229806007,0.868185288,1.416524819,1.046471895,1.034275529,0.999664038,0.818593034,20171113,20170601
136,150054.SZ,000905.SH,15.64823305,10.91488692,1.433659658,1.140657084,0.985555842,0.979855413,10.78265775,20170523,20170413
125,502008.SH,399974.SZ,17.59751182,12.11838575,1.452133327,1.318681319,1.14427192,0.991901122,9.461074845,20170510,20170413
1,150250.SZ,399986.SZ,23.58776661,16.15689081,1.459919912,1.372311828,1.138583544,0.991155824,11.34793967,20170504,20170220
133,166802.OF,000300.SH,3.83743158,2.601125433,1.475296628,1.243826421,1.205773436,0.977883986,2.3744479,20170222,20161230
20,160716.SZ,000925.SH,1.874479533,1.269163874,1.476940505,1.275424427,1.256835122,0.995219491,1.17851056,20170601,20161230
71,160222.OF,399396.SZ,2.159583033,1.454099858,1.485168313,1.545878035,1.524461592,0.998555979,1.516186821,20171116,20170922
122,160814.OF,000934.SH,1.995475473,1.333592695,1.496315539,1.171596859,1.151807728,0.995435749,0.660063544,20170608,20170505
352,000369.OF,SPG120035.SPI,11.82212897,7.884317903,1.49944854,1.117194781,1,,6.145371298,20170818,20170622
469,160218.OF,399393.SZ,2.352263322,1.562136794,1.505798552,1.077724836,1.054397777,0.995641955,0.676379195,20170413,20170331
356,530018.OF,399330.SZ,4.429418755,2.909753801,1.52226582,1.291320204,1.247397959,0.982349325,1.846067547,20171113,20170811
10,164508.OF,000903.SH,3.911005117,2.473413284,1.581217802,1.329272662,1.290490217,0.97791508,2.198447602,20170601,20170411
465,399001.OF,000016.SH,2.317133658,1.457076739,1.590261924,1.264675592,1.241696876,0.992849323,1.358556297,20170322,20170103
375,000962.OF,000905.SH,1.356779059,0.848871373,1.598332918,0.999011369,0.985555842,0.999650894,0.732550352,20170413,20170116
105,162714.OF,399330.SZ,2.107407122,1.311360999,1.607038126,1.268297021,1.247397959,0.997757592,0.967986872,20170413,20170330
66,513030.SH,GDAXI.GI,18.03614611,11.21590022,1.608087247,1.17875383,1,,4.633920297,20170905,20170605
287,003720.OF,SPSIBI.SPI,32.45845677,20.1596993,1.610066514,1.321527778,1,,9.003939223,20171114,20171010
399,162415.SZ,IXY.SPI,13.65263573,8.438360474,1.617925161,1.135331517,1,,8.377896613,20170908,20170509
498,502040.SH,000016.SH,2.917959168,1.751109925,1.66634837,1.270633199,1.241696876,0.989994866,1.964482545,20170601,20170105
544,510190.SH,000065.SH,0.902545235,0.538559051,1.675851949,1.154540281,1.145589342,0.998507999,0.55738194,20171207,20170823
404,000008.OF,000905.SH,1.385295598,0.81799985,1.693515711,0.999294159,0.985555842,0.999683711,0.547351881,20170913,20170717
200,110033.OF,HSCEI.HI,23.41153965,13.81204974,1.695008351,1.231983528,1,,6.709080393,20171207,20171122
243,110032.OF,HSCEI.HI,23.41153965,13.81204974,1.695008351,1.231983528,1,,6.709080393,20171207,20171122
191,002974.OF,000993.SH,2.088158245,1.229103518,1.698927888,0.990452065,0.969743877,0.998919824,1.194921236,20171116,20170811
578,512310.SH,h30252.CSI,0.774221157,0.447282677,1.730943757,0.946610416,0.938932083,0.999559,0.658084863,20171219,20170717
563,700002.OF,399007.SZ,6.371607274,3.67563715,1.733470148,1.187610731,1.124434556,0.96680767,2.6120181,20170620,20170411
176,002978.OF,000991.SH,1.255054095,0.718140375,1.747644526,1.050507582,1.038060836,0.999801007,0.623999494,20171025,20170804
374,150268.SZ,399986.SZ,29.2382792,16.63833749,1.757283696,1.428244711,1.138583544,0.993251829,9.011171101,20171215,20171122
309,180033.OF,000050.SH,1.909528631,1.073156804,1.779356589,1.119377163,1.100440301,0.995522274,0.958079343,20170613,20161230
137,050025.OF,SPX.GI,12.74467142,7.125431001,1.788617618,1.126335672,1,,4.25041876,20170908,20170726
346,150168.SZ,000300.SH,24.01710746,13.28218214,1.808220006,1.443752374,1.205773436,0.99168901,8.72826107,20171207,20171122
154,513500.SH,SPX.GI,13.63718817,7.525420749,1.812149596,1.135178472,1,,4.353686481,20170908,20170726
70,502003.SH,399967.SZ,2.348237096,1.283888533,1.82900387,0.832008245,0.80872111,0.997835013,0.854953863,20171109,20171026
394,160632.OF,399987.SZ,3.298875987,1.8036093,1.829041348,1.453467443,1.420754211,0.997796655,1.950368439,20171218,20171128
526,519671.OF,000919.SH,2.393700746,1.288827223,1.857270473,1.338954469,1.315216521,0.996537523,0.891445055,20171121,20171010
208,002385.OF,000300.SH,4.633541516,2.45401546,1.888146832,1.251719395,1.205773436,0.976376647,1.558250321,20170606,20170303
212,150084.SZ,399330.SZ,25.71520588,13.60960037,1.889490153,1.5021876,1.247397959,0.995051169,9.962726257,20171207,20171121
501,159906.SZ,399326.SZ,1.862374866,0.985322659,1.890116753,1.111111111,1.092641839,0.998009943,0.592579927,20170104,20161230
406,100038.OF,000300.SH,5.160583693,2.70982404,1.904398078,1.256944444,1.205773436,0.96858597,1.590680187,20171122,20171026
184,150330.SZ,399809.SZ,31.13912959,16.32175035,1.907830283,1.827027027,1.518554423,0.982721837,7.955962148,20171201,20171121
419,161128.SZ,SP50045.SPI,21.451481,11.2378169,1.908865502,1.212576349,1,,5.802943658,20170703,20170602
507,150124.SZ,399550.SZ,23.42278279,12.21470309,1.917589205,1.668414322,1.43631948,0.98235609,14.65138168,20171207,20171121
126,000885.OF,SPAGREDP.SPI,14.73022108,7.671944403,1.920011448,1.146007151,1,,3.675163011,20170314,20170125
383,050013.OF,000043.SH,2.026208275,1.046114988,1.936888676,1.182995302,1.162901419,0.997018392,0.855198963,20170411,20161230
497,150149.SZ,000841.SH,36.09367985,18.32508103,1.969632756,1.499955709,1.142461708,0.989976278,9.855447671,20171130,20171106
402,160121.OF,FBRIC.FI,23.66113179,11.97362056,1.976105029,1.234454638,1,,6.453746575,20171206,20171122
203,002984.OF,000827.SH,1.538655183,0.775981807,1.982849558,0.998550725,0.983291598,0.999413018,0.451262475,20170707,20170601
509,502006.SH,399974.SZ,2.669955855,1.344128634,1.986384181,1.170749151,1.14427192,0.993161097,0.743912242,20171117,20170831
220,519116.OF,000300.SH,4.417446782,2.221239285,1.98873071,1.249576988,1.205773436,0.982467771,1.978392414,20171110,20170919
458,502048.SH,000016.SH,2.223166443,1.114778026,1.994268267,1.263743815,1.241696876,0.99694883,0.792025588,20170601,20170419
303,001397.OF,h30531.CSI,8.197401401,4.084949068,2.006732829,1.103558052,1.022284461,0.945202864,2.329856648,20170411,20170317
316,003719.OF,SP50035.SPI,17.83421022,8.856875315,2.013600687,1.176753783,1,,5.652173913,20170818,20170724
258,001241.OF,000905.SH,1.837271009,0.909840522,2.01933302,1.003776176,0.985555842,0.999688487,0.467335462,20170913,20170717
586,110030.OF,000300.SH,8.152586089,4.0177141,2.029160335,1.286602845,1.205773436,0.925462082,2.060904624,20171221,20171116
514,001551.OF,000978.SH,1.728684808,0.843950005,2.048326083,1.020274777,1.003131223,0.998967987,0.725109012,20170407,20170116
377,150013.SZ,000903.SH,13.03510862,6.343759085,2.054792505,1.419703521,1.290490217,0.994951956,4.557800293,20171215,20171122
590,159941.SZ,NDX.GI,23.92083086,11.39732223,2.098811491,1.23702577,1,,5.89456869,20170703,20170602
474,000834.OF,NDX.GI,21.95882777,10.30462269,2.130968638,1.2176,1,,5.29369108,20170703,20170602
596,161122.OF,399993.SZ,2.080693991,0.966922434,2.151872702,1.018702513,0.998068342,0.997238303,0.518959968,20170511,20170505
165,001549.OF,000016.SH,2.175124507,1.006943484,2.16012571,1.26326743,1.241696876,0.997587067,0.857243247,20170601,20161230
99,165511.OF,000905.SH,4.908494964,2.264956846,2.167147234,1.034227691,0.985555842,0.986984148,1.234910633,20171121,20170921
415,502022.SH,000016.SH,22.90662448,10.51287709,2.17891109,1.468681319,1.241696876,0.990467377,10.03999622,20171215,20171122
117,530010.OF,000048.SH,2.642762127,1.211774125,2.180903249,1.261535307,1.23532772,0.997909018,1.049008575,20170612,20161230
347,270042.OF,NDX.GI,24.40874854,11.12504211,2.194036507,1.241856243,1,,5.809405704,20170703,20170602
4,159905.SZ,399324.SZ,2.394018616,1.077440631,2.221949449,1.469380744,1.445639644,0.998378369,0.517120903,20170425,20161230
308,512300.SH,h30255.CSI,0.862866952,0.38336388,2.250777909,1.029811196,1.021253749,0.999564039,0.655000043,20171218,20170720
148,040046.OF,NDX.GI,22.87366211,10.15580869,2.252273827,1.226658081,1,,5.391304348,20170703,20170602
339,510010.SH,000021.SH,2.496095321,1.10124145,2.266619479,1.223316303,1.198563027,0.995544553,0.427462755,20170302,20161230
229,513100.SH,NDX.GI,24.63617415,10.85121321,2.270361265,1.244107744,1,,5.460921844,20170703,20170602
129,001553.OF,h30588.CSI,3.049561888,1.339587551,2.276493152,1.118783784,1.088542566,0.997377086,0.733290289,20170220,20161230
569,001595.OF,399986.SZ,3.444215304,1.504331157,2.289532652,1.172737831,1.138583544,0.994697242,1.35230444,20170405,20161230
262,160213.OF,NDX.GI,25.07817145,10.88335848,2.304267705,1.248483397,1,,5.457777778,20170703,20170602
466,161714.SZ,SPBRICNTR.SPI,29.07551708,12.53037632,2.320402543,1.288050314,1,,6.934673367,20171206,20171122
131,150230.SZ,399987.SZ,54.62172361,23.50219882,2.324111204,1.961442786,1.420754211,0.993125604,15.19049359,20171130,20171116
518,000176.OF,000300.SH,7.283566216,3.106556742,2.344578522,1.277989337,1.205773436,0.962429163,2.568165988,20171128,20170925
114,150105.SZ,000300.SH,17.04676882,7.26885011,2.345180952,1.374727838,1.205773436,0.993462505,4.885962162,20171207,20171122
412,001589.OF,000906.SH,2.274524399,0.965584813,2.355592557,1.162063312,1.139507108,0.997043335,1.207490529,20170413,20161230
433,501021.SH,SPHCMSHP.SPI,32.68569738,13.80005975,2.36851854,1.32377629,1,,7.736174683,20171206,20171113
161,003017.OF,399967.SZ,4.020815389,1.696347,2.370278834,0.848592284,0.80872111,0.999361733,0.942643117,20170411,20170330
361,160636.OF,399970.SZ,2.646274492,1.109174239,2.385805945,1.057088787,1.030846373,0.998131523,0.55282825,20171121,20170809
409,160417.OF,000300.SH,2.672464548,1.118496197,2.389337178,1.232275542,1.205773436,0.995237008,1.270696251,20170316,20161230
222,510160.SH,000901.SH,1.63073506,0.679292324,2.400638139,1.154561258,1.138389018,0.997962253,0.779190195,20170824,20170810
29,513600.SH,HSI.HI,27.74854746,11.53517204,2.405559913,1.274916706,1,,6.542128517,20171206,20171122
186,003578.OF,000905.SH,7.549525376,3.132008516,2.410442161,1.060407924,0.985555842,0.975658484,1.987017635,20170612,20170509
512,510510.SH,000905.SH,0.989031463,0.409315239,2.416307452,0.995364469,0.985555842,0.999906217,0.187117474,20170222,20170119
135,000948.OF,HSI.HI,27.44363904,11.33740269,2.420628409,1.271898734,1,,6.334953456,20171206,20171122
232,002907.OF,000905.SH,10.45964492,4.316252307,2.423316381,1.089249493,0.985555842,0.953557831,2.103766448,20171110,20171012
209,513660.SH,HSI.HI,27.88212745,11.48648466,2.427385598,1.276238857,1,,6.504507305,20171206,20171122
255,159939.SZ,000993.SH,2.800994285,1.151711422,2.432027877,0.997520433,0.969743877,0.997802435,1.092464348,20171211,20171208
